"user_id,transaction_date,amount,transaction_status"
"1,2024-12-01,100.0,completed"
"1,2024-12-01,50.0,completed"
"2,2024-12-02,200.0,completed"
"2,2024-12-02,100.0,pending"
"3,2024-12-03,150.0,completed"
"4,2024-12-03,200.0,pending"
"5,2024-12-04,400.0,completed"
"6,2024-12-05,500.0,completed"
"7,2024-12-06,700.0,completed"
"8,2024-12-06,250.0,completed"
"9,2024-12-07,350.0,completed"
"10,2024-12-08,450.0,completed"
"11,2024-12-08,500.0,pending"
"12,2024-12-09,600.0,completed"
"13,2024-12-10,700.0,completed"
"14,2024-12-11,800.0,completed"
"15,2024-12-11,900.0,pending"
"16,2024-12-12,1000.0,completed"
"17,2024-12-13,1100.0,completed"
"18,2024-12-14,1200.0,completed"
"19,2024-12-15,1300.0,completed"
"20,2024-12-16,1500.0,pending"
